名称,中译名,年份,平台,推荐指数,添加时间
Snaliens,蛇蛇外星人,2020,PC,6,2024/12/31
Soul Hackers 2,灵魂骇客2,2022,PC,6,2024/12/31
SOUND VOLTEX EXCEED GEAR,音律炫动EXCEED GEAR,2021,Arcade,6,2024/12/31
Spiritfarer,灵魂摆渡人,2020,PC,6,2024/12/31
Spore,孢子,2008,PC,6,2024/12/31
SquishCraft,挤压工艺,2022,PC,6,2024/12/31
Steep,极限巅峰,2016,PC,6,2024/12/31
STEINS;GATE 変移空間のオクテット,命运石之门：变移空间的8bit,2011,PC,6,2024/12/31
STELLIGHTS,,2017,Mobile,6,2024/12/31
Stories Untold,未诉之事,2017,PC,6,2024/12/31
Synchronica,,2015,Arcade,6,2024/12/31
Tametsi,,2017,PC,6,2024/12/31
Temple Run 2,神庙逃亡2,2013,Mobile,6,2024/12/31
The Bunker,地堡,2016,PC,6,2024/12/31
The King of Fighters 2001,拳皇2001,2001,Arcade,6,2024/12/31
The King of Fighters 2002,拳皇2002,2002,Arcade,6,2024/12/31
The King of Fighters 2003,拳皇2003,2003,Arcade,6,2024/12/31
The King of Fighters 96,拳皇96,1996,Arcade,6,2024/12/31
The King of Fighters 98,拳皇98,1998,Arcade,6,2024/12/31
The Past Within,,2022,PC,6,2024/12/31
The Pedestrian,步行者,2020,PC,6,2024/12/31
The Sequence,序列,2015,Mobile,6,2024/12/31
The Sojourn,旅居,2019,PC,6,2024/12/31
The Spectrum Retreat,光谱撤退,2018,PC,6,2024/12/31
The Talos Principle,塔罗斯的法则,2014,PC,6,2024/12/31
theHunter: Call of the Wild,猎人：荒野的召唤,2017,PC,6,2024/12/31
There Is No Game,根本没有游戏,2015,Mobile,6,2024/12/31
This War of Mine,这是我的战争,2014,Mobile,6,2024/12/31
Totally Accurate Battle Simulator,全面战争模拟器,2019,PC,6,2024/12/31
Townscaper,城镇叠叠乐,2021,PC,6,2024/12/31
Trek to Yomi,黄泉之路,2022,PC,6,2024/12/31
Trick Shot,,2015,Mobile,6,2024/12/31
Tricky Towers,,2016,PC,6,2024/12/31
Twin Mirror,双子幻境,2021,PC,6,2024/12/31
Ultimate Chicken Horse,超级鸡马,2016,PC,6,2024/12/31
Undertale,传说之下,2015,PC,6,2024/12/31
Valheim,英灵神殿,2021,PC,6,2024/12/31
voi,,2017,Mobile,6,2024/12/31
Voice of Cards できそこないの巫女,卡牌之声 不成器之巫女,2022,PC,6,2024/12/31
WACCA,华卡音舞,2019,Arcade,6,2024/12/31
Where's My Water?,鳄鱼小顽皮爱洗澡,2011,Mobile,6,2024/12/31
Where's My Water? 2,鳄鱼小顽皮爱洗澡2,2013,Mobile,6,2024/12/31
while True: learn(),,2019,PC,6,2024/12/31
World War Z,僵尸世界大战,2019,PC,6,2024/12/31
yellow,黄,2018,Mobile,6,2024/12/31
Zengrams,方块拼凑,2014,Mobile,6,2024/12/31
まいてつ -Pure Station-,爱上火车 -Pure Station-,2018,PC,6,2024/12/31
爆弾男,炸弹人,1983,FC,6,2024/12/31
不可思议乐队,/,2019,Mobile,6,2024/12/31
超时空方舟,/,2019,PC,6,2024/12/31
初音速,/,2017,Mobile,6,2024/12/31
初音未来：梦幻歌姬,/,2018,Mobile,6,2024/12/31
東方ダンマクカグラ,东方弹幕神乐,2021,Mobile,6,2024/12/31
火山的女儿,/,2023,PC,6,2024/12/31
绝区零,/,2024,PC,6,2024/12/31
零 ～濡鸦ノ巫女～,零 ～濡鸦之巫女～,2014,PC,6,2024/12/31
盲点,/,2020,VR,6,2024/12/31
美少女万華鏡 -罪と罰の少女-,美少女万华镜 -罪与罚的少女-,2017,PC,6,2024/12/31
迷失岛2：时间的灰烬,/,2018,PC,6,2024/12/31
明日方舟,/,2019,Mobile,6,2024/12/31
雀魂麻将,/,2020,PC,6,2024/12/31
说剑,/,2016,Mobile,6,2024/12/31
午前五時にピアノを弾く,清晨五时的钢琴,2023,PC,6,2024/12/31
舞立方,/,2013,Arcade,6,2024/12/31
星のカービィ ロボボプラネット,星之卡比 机械行星,2016,3DS,6,2024/12/31
重构,/,2022,PC,6,2024/12/31
>observer_,>观察者_,2017,PC,5,2024/12/31
A Plague Tale: Innocence,瘟疫传说：无罪,2019,PC,5,2024/12/31
A=B,/,2022,PC,5,2024/12/31
ABYSS OF THE SACRIFICE,密室的祭品,2020,PC,5,2024/12/31
AER Memories of Old,AER: 古老的记忆,2017,PC,5,2024/12/31
Agence,事务所,2020,VR,5,2024/12/31
Ancestors: The Humankind Odyssey,先祖：人类奥德赛,2019,PC,5,2024/12/31
Asphalt 6: Adrenaline,狂野飙车6：火线追击,2010,Mobile,5,2024/12/31
Asphalt 7: Heat,狂野飙车7：极速热力,2012,Mobile,5,2024/12/31
Badland,迷失之地,2013,Mobile,5,2024/12/31
BanG Dream! Girls Band Party!,梦想协奏曲! 少女乐团派对!,2017,Mobile,5,2024/12/31
Battle Block Theater,战斗方块剧场,2014,PC,5,2024/12/31
Battle City,坦克大战,1985,FC,5,2024/12/31
Blek,手指画线,2014,Mobile,5,2024/12/31
Botany Manor,波坦尼庄园,2024,PC,5,2024/12/31
Brawlhalla,格斗哈拉,2017,PC,5,2024/12/31
Break the Game,打破游戏,2019,PC,5,2024/12/31
Bridge Constructor: The Walking Dead,桥梁工程师：行尸走肉,2020,PC,5,2024/12/31
Call of the Wild: The Angler,荒野的召唤：垂钓者,2022,PC,5,2024/12/31
Chained Together,链在一起,2024,PC,5,2024/12/31
Chameleon Run,极速变色龙,2016,Mobile,5,2024/12/31
Cloud Climber,攀云者,2021,PC,5,2024/12/31
CODE VEIN,嗜血代码,2019,PC,5,2024/12/31
Coloring Game 3,染色游戏3,2020,PC,5,2024/12/31
Counter Strike: Global Offensive,反恐精英：全球攻势,2012,PC,5,2024/12/31
Cube Escape: Seasons,方块逃脱：四季,2015,Mobile,5,2024/12/31
Dance Rail Refresh,,2017,Mobile,5,2024/12/31
Dancing Line,跳舞的线,2016,Mobile,5,2024/12/31
DayZ,,2013,PC,5,2024/12/31
Deepest Sword,最深之剑,2021,PC,5,2024/12/31
Don't Starve: Shipwrecked,饥荒：海难,2015,Mobile,5,2024/12/31
Doodle Creatures,涂鸦生物,2014,Mobile,5,2024/12/31
Emily is Away,艾米莉已下线,2015,PC,5,2024/12/31
English Country Tune,,2011,PC,5,2024/12/31
Farming Simulator 19,农场模拟器19,2017,PC,5,2024/12/31
Finger Hero,指尖英雄,2016,Mobile,5,2024/12/31
Fishing & Life,钓鱼人生,2019,Mobile,5,2024/12/31
Game Dev Story,游戏开发物语,1997,PC,5,2024/12/31
Geometry Dash World,几何冲刺：世界,2016,Mobile,5,2024/12/31
Goodbye Mr. Octopus,再见，章鱼先生,2020,VR,5,2024/12/31
Hachi Hachi,八音节奏,2016,Mobile,5,2024/12/31
Hardspace: Shipbreaker,迷走深空：碎舰师,2022,PC,5,2024/12/31
Hexceed,十六进制,2021,PC,5,2024/12/31
hocus.,,2015,Mobile,5,2024/12/31
HOOK,钩子,2015,Mobile,5,2024/12/31
Horace,贺拉斯,2019,PC,5,2024/12/31
I Wanna Be The Guy: Gaiden,,2012,PC,5,2024/12/31
KAMI 2,纸2,2017,Mobile,5,2024/12/31
klocki,,2016,Mobile,5,2024/12/31
Left 4 Dead 2,求生之路2,2009,PC,5,2024/12/31
Lethal Company,致命公司,2023,PC,5,2024/12/31
Lethe,忘却之声,2017,Mobile,5,2024/12/31
Love Tou To Bits,爱你，每一块碎片,2016,Mobile,5,2024/12/31
Lume,,2011,Mobile,5,2024/12/31
Manor Lords,庄园领主,2024,PC,5,2024/12/31
Milk inside a bag of milk inside a bag of milk,牛奶袋中袋中牛奶,2020,PC,5,2024/12/31
Mini Metro,迷你地铁,2015,Mobile,5,2024/12/31
Mirror,魔镜,2018,PC,5,2024/12/31
Moonlighter,夜勤人,2018,PC,5,2024/12/31
Neon Beats,霓虹节拍,2019,PC,5,2024/12/31
Never Alone: Ki Edition,永不孤单,2016,Mobile,5,2024/12/31
Ninja Gaiden,忍者龙剑传,1988,FC,5,2024/12/31
One Step From Eden,伊甸之路,2020,PC,5,2024/12/31
Orwell,奥威尔,2016,PC,5,2024/12/31
Outfolded,延展方块,2016,Mobile,5,2024/12/31
OutRun2,,2003,Arcade,5,2024/12/31
Oxygen Not Included,缺氧,2017,PC,5,2024/12/31
Phigros,,2019,Mobile,5,2024/12/31
"Pokémon Let's Go, Pikachu!",宝可梦 Let's Go! 皮卡丘,2018,NS,5,2024/12/31
polytone,,2018,Mobile,5,2024/12/31
Q.U.B.E. 2,,2018,PC,5,2024/12/31
Recompile,再编译,2021,PC,5,2024/12/31
Reflect Beat+,动感弹珠+,2013,Mobile,5,2024/12/31
Rento Fortune,大富翁,2017,PC,5,2024/12/31
Retrowave,复古波,2020,PC,5,2024/12/31
Sakura Agent,樱花特工,2017,PC,5,2024/12/31
Sayonara Wild Hearts,再见狂野之心,2019,PC,5,2024/12/31
Skul: The Hero Slayer,小骨：英雄杀手,2021,PC,5,2024/12/31
Small Radios Big Televisions,小收音机大电视,2016,PC,5,2024/12/31
Smash Hit,粉碎冲击,2014,Mobile,5,2024/12/31
Sons Of The Forest,森林之子,2023,PC,5,2024/12/31
Spelunky,洞穴探险,2013,PC,5,2024/12/31
Still Wakes the Deep,觉醒深渊,2024,PC,5,2024/12/31
Subverse,,2021,PC,5,2024/12/31
Subway Surfers,地铁跑酷,2012,Mobile,5,2024/12/31
Super Sharp,锋刃,2016,Mobile,5,2024/12/31
Surviving Mars,火星求生,2018,PC,5,2024/12/31
takt op. 運命は真紅き旋律の街を,宿命回响：弦上的叹息,2023,Mobile,5,2024/12/31
Terraria,泰拉瑞亚,2011,PC,5,2024/12/31
Thanks for Playing,感谢游玩,2013,Mobile,5,2024/12/31
The Basement Collection,地下室游戏合集,2012,PC,5,2024/12/31
The Complex,复体,2020,PC,5,2024/12/31
The First Tree,第一棵树,2017,PC,5,2024/12/31
The Graveyard,墓园,2008,PC,5,2024/12/31
The Guide Axiom,指南：公理,2017,Mobile,5,2024/12/31
The Looker,,2022,PC,5,2024/12/31
The Room,未上锁的房间,2015,Mobile,5,2024/12/31
The Treasures of Montezuma 4,蒙特祖玛的宝藏4,2013,PC,5,2024/12/31
TroubleDays,,2020,PC,5,2024/12/31
Ultimate Fishing Simulator 2,终极钓鱼模拟器2,2022,PC,5,2024/12/31
UNBEATABLE [white label],,2021,PC,5,2024/12/31
Unheard,疑案追声,2019,PC,5,2024/12/31
URBO: Dream One,浮城：初梦,2023,PC,5,2024/12/31
Where The Water Tastes Like Wine,彼处水如酒,2018,PC,5,2024/12/31
White Night,白夜,2015,Mobile,5,2024/12/31
Zion,载音,2015,Mobile,5,2024/12/31
みんなで空気読み。,大家一起观颜察色。,2020,PC,5,2024/12/31
百英雄伝,百英雄传,2024,PC,5,2024/12/31
大富翁10,/,2019,PC,5,2024/12/31
互联网原住民,/,2022,PC,5,2024/12/31
龍が如く0,如龙0,2015,PC,5,2024/12/31
漫长旅途,/,2016,Mobile,5,2024/12/31
神狱塔 メアリスケルター2,神狱塔：断罪玛丽2,2019,NS,5,2024/12/31
太鼓の達人,太鼓达人,2001,Arcade,5,2024/12/31
太鼓の達人 Nintendo Switchば～じょん！,太鼓达人 Nintendo Switch版!,2018,NS,5,2024/12/31
湾岸Midnight Maximum Tune,,2001,Arcade,5,2024/12/31
妄想症：Deliver Me,/,2018,PC,5,2024/12/31
我的文明,/,2016,Mobile,5,2024/12/31
物种起源,/,2017,Mobile,5,2024/12/31
一起优诺,/,2020,Mobile,5,2024/12/31
音灵,/,2018,PC,5,2024/12/31
淫らな魔窟の探索者,淫乱魔窟的探索者,2022,PC,5,2024/12/31
隐匿按钮,/,2020,Mobile,5,2024/12/31
隐形守护者,/,2019,PC,5,2024/12/31
原点计划, /,2022,NS,5,2024/12/31
原神,/,2020,PC,5,2024/12/31
3 out of 10,十分之三,2020,PC,4,2024/12/31
Angry Birds Rio,愤怒的小鸟：里约,2011,Mobile,4,2024/12/31
Assassin's Creed: Identity,刺客信条：本色,2015,Mobile,4,2024/12/31
Assassin's Creed: Pirates,刺客信条：海盗,2016,Mobile,4,2024/12/31
BirdGut,鸟肠,2019,PC,4,2024/12/31
Bit Orchard: Animal Valley,比特奥查德：动物谷,2021,NS,4,2024/12/31
Blackbox,黑盒,2020,Mobile,4,2024/12/31
City of Brass,黄铜之城,2018,PC,4,2024/12/31
cut,,2017,Mobile,4,2024/12/31
D4DJ Groovy Mix,,2020,Mobile,4,2024/12/31
Dungeons of Hinterberg,辛特堡传说,2024,PC,4,2024/12/31
Electronic Super Joy 2,电子超快感2,2019,PC,4,2024/12/31
e舞成名,/,2011,Arcade,4,2024/12/31
Figment,虚构世界,2017,PC,4,2024/12/31
Find the Line,彩线拼图,2020,Mobile,4,2024/12/31
Getting Over It with Bennett Foddy,与本尼弗雷德一起攻克难关,2017,PC,4,2024/12/31
GITADORA,吉他高手和狂热鼓手,2013,Arcade,4,2024/12/31
Hacknet,黑客网络,2015,PC,4,2024/12/31
Hitman GO,杀手：GO,2014,Mobile,4,2024/12/31
House of the Dead: Scarlet Dawn,死亡之屋：猩红黎明,2018,Arcade,4,2024/12/31
Logic Traces,逻辑连线,2016,Mobile,4,2024/12/31
Meadow,草原,2016,PC,4,2024/12/31
Metal Slug Defence,合金弹头：塔防,2015,PC,4,2024/12/31
Minit,,2018,PC,4,2024/12/31
Mitos.is: The Game,有丝分裂,2015,PC,4,2024/12/31
Mizi NO!,Mizi不要！,2024,PC,4,2024/12/31
Monster Hunter: World,怪物猎人：世界,2018,PC,4,2024/12/31
Nihilumbra,诅咒世界大冒险,2013,PC,4,2024/12/31
NinJump,忍者跳跃,2010,Mobile,4,2024/12/31
osu!droid,,2015,Mobile,4,2024/12/31
PinOut!,,2016,Mobile,4,2024/12/31
Plants vs. Zombies 2,植物大战僵尸2,2013,Mobile,4,2024/12/31
Pokémon Quest,宝可梦大探险,2018,Mobile,4,2024/12/31
Polysphere,多边球,2020,Mobile,4,2024/12/31
Puzzle - LINES AND KNOTS,谜题 - 线与结,2020,PC,4,2024/12/31
Railway Empire,铁路帝国,2018,PC,4,2024/12/31
RiME,,2017,PC,4,2024/12/31
Rusty Lake Hotel,锈湖：旅馆,2016,PC,4,2024/12/31
Seashine,深海之光,2016,Mobile,4,2024/12/31
Serial Experiments Lain,玲音,1998,PS,4,2024/12/31
SimCity BuildIt,模拟城市：我是市长,2017,Mobile,4,2024/12/31
Super Phantom Cat 2,超级幻影猫2,2017,Mobile,4,2024/12/31
Sword Art Online: Lost Song,刀剑神域：失落之歌,2018,PC,4,2024/12/31
Telepaint,油漆桶大冒险,2017,Mobile,4,2024/12/31
The Shapeshifting Detective,化身侦探,2018,PC,4,2024/12/31
The Town of Light,暮光小镇,2016,PC,4,2024/12/31
Tormentor X Punisher,折磨者X惩罚者,2017,PC,4,2024/12/31
Yooka-Laylee and the Impossible Lair,尤卡莱莉与无望巢穴,2019,PC,4,2024/12/31
Zip-Zap,,2017,Mobile,4,2024/12/31
ナビつき! つくってわかる はじめてゲームプログラミング,附带导航！一做就上手 第一次的游戏程式设计,2021,NS,4,2024/12/31
保卫萝卜,/,2012,Mobile,4,2024/12/31
拣·爱,/,2021,PC,4,2024/12/31
节奏大师,/,2012,Mobile,4,2024/12/31
旅かえる,旅行青蛙,2017,Mobile,4,2024/12/31
缪斯计划,/,2016,Mobile,4,2024/12/31
神之国的魔法使,/,2022,PC,4,2024/12/31
跳舞的线,/,2016,Mobile,4,2024/12/31
选王之剑,/,2022,PC,4,2024/12/31
异常,/,2019,PC,4,2024/12/31
元气骑士,/,2017,Mobile,4,2024/12/31
做个好梦,/,2021,PC,4,2024/12/31
Antimatter Dimensions,反物质维度,2022,PC,3,2024/12/31
Arctico,北极,2022,PC,3,2024/12/31
BeatEVO YG,节奏大爆炸,2017,Mobile,3,2024/12/31
Blueprint Tycoon,蓝图大亨,2016,PC,3,2024/12/31
Commute,拒绝上班,2015,Mobile,3,2024/12/31
E.Z,,2018,PC,3,2024/12/31
Flappy Bird,飞扬的小鸟,2013,Mobile,3,2024/12/31
Gal*Gun 2,少女☆射击2,2018,PC,3,2024/12/31
Heart Maze,迷失立方,2017,Mobile,3,2024/12/31
illi,,2017,Mobile,3,2024/12/31
Sono,,2020,PC,3,2024/12/31
Super Meat Boy Forever,超级食肉男孩：永恒,2020,PC,3,2024/12/31
Teeworlds,,2007,PC,3,2024/12/31
みんな大好き塊魂アンコール+ 王様プチメモリー,人见人爱的块魂 安可+ 国王大人的小小回忆,2023,PC,3,2024/12/31
第七号列车,/,2021,PC,3,2024/12/31
箭箭剑,/,2023,PC,3,2024/12/31
完蛋！我被美女包围了！,/,2023,PC,3,2024/12/31
唯舞獨尊2,/,2009,Arcade,3,2024/12/31
阴阳师,/,2016,Mobile,3,2024/12/31
找你妹,/,2012,Mobile,3,2024/12/31
Beat Stomper,节奏破坏者,2016,Mobile,2,2024/12/31
Escape the Game,逃离游戏,2016,PC,2,2024/12/31
Give It Up! 2,永不言弃2,2016,Mobile,2,2024/12/31
Il Dubbio - Episode 1,疑问 第一集,2020,VR,2,2024/12/31
League of Legends,英雄联盟,2009,PC,2,2024/12/31
Metal Slug 3D,合金弹头3D,2006,PS2,2,2024/12/31
Mirror 2: Project X,魔镜2：X计划,2022,PC,2,2024/12/31
捕鱼达人,/,2009,Mobile,2,2024/12/31
鼓萌,/,2021,Arcade,2,2024/12/31
Alchemia,炼金术,2018,PC,1,2024/12/31
Impossible Road,无解之路,2016,Mobile,1,2024/12/31
Into the Gloom,陷入黑暗,2015,PC,1,2024/12/31
OLDTV,老电视,2018,Mobile,1,2024/12/31
Transformice,变形金鼠,2015,PC,1,2024/12/31
三色△绘恋 TrueEnd,/,2022,PC,1,2024/12/31
Floating Point,浮点,2014,PC,1,2024/12/31
风子,/,2015,Mobile,1,2024/12/31
Triple Jump,三段跳,2016,Mobile,1,2024/12/31
Zup! 2,,2016,PC,0,2024/12/31
